"","id","source","type_of_material","web_url"
"1",1,"The New York Times","News","https://www.nytimes.com/2016/11/08/us/politics/hillary-clinton-donald-trump.html"
"2",2,"The New York Times","News","https://www.nytimes.com/2016/10/26/nyregion/muslims-parents-donald-trump-staten-island.html"
"3",3,"The New York Times","News","https://www.nytimes.com/2016/11/03/us/politics/obama-hillary-clinton-donald-trump.html"
"4",4,"The New York Times","News","https://www.nytimes.com/2016/11/01/technology/peter-thiel-on-donald-trump-media-silicon-valley.html"
"5",5,"The New York Times","News","https://www.nytimes.com/2016/10/25/us/politics/trump-bigly-big-league-linguists.html"
"6",6,"The New York Times","News","https://www.nytimes.com/2016/11/01/us/politics/james-comey-trump-clinton.html"
"7",7,"The New York Times","News","https://www.nytimes.com/2016/11/05/us/politics/campaign-trump-clinton.html"
"8",8,"The New York Times","News","https://www.nytimes.com/2016/10/24/business/media/now-at-gq-keith-olbermann-takes-his-outrage-online.html"
"9",9,"The New York Times","News","https://www.nytimes.com/2016/10/25/well/election-therapy-readers-tell-their-stories.html"
"10",10,"The New York Times","News","https://www.nytimes.com/2016/11/04/us/politics/clinton-trump-investigations.html"
"11",1,"The New York Times","News","https://www.nytimes.com/2016/11/05/us/immigrants-obama-election-fear-leniency.html"
"12",2,"The New York Times","News","https://www.nytimes.com/2016/11/06/magazine/how-economic-gobbledygook-divides-us.html"
"13",3,"The New York Times","News","https://www.nytimes.com/2016/10/29/nyregion/new-york-theater-artists-latest-muse-donald-trump.html"
"14",4,"The New York Times","News","https://www.nytimes.com/2016/11/03/us/politics/photos-2016-campaign.html"
"15",5,"The New York Times","News","https://www.nytimes.com/2016/11/06/magazine/when-hillary-and-donald-were-friends.html"
"16",6,"The New York Times","News","https://www.nytimes.com/2016/11/08/us/politics/obama-2008-election-comparison.html"
"17",7,"The New York Times","News","https://www.nytimes.com/2016/11/07/world/europe/where-burning-effigies-not-just-guy-fawkess-is-part-of-the-fun.html"
"18",8,"The New York Times","News","https://www.nytimes.com/2016/11/05/us/a-militia-gets-battle-ready-for-a-gun-grabbing-clinton-presidency.html"
"19",9,"The New York Times","News","https://www.nytimes.com/2016/11/07/us/politics/presidential-election.html"
"20",10,"The New York Times","News","https://www.nytimes.com/2016/10/28/us/politics/darrell-issa-california.html"
"21",1,"The New York Times","News","https://www.nytimes.com/2016/11/02/us/politics/fbi-james-comey-hillary-clinton-donald-trump.html"
"22",2,"The New York Times","News","https://www.nytimes.com/2016/11/03/us/politics/donald-trump-veterans.html"
"23",3,"The New York Times","News","https://www.nytimes.com/2016/10/25/us/politics/obama-democrats-donald-trump.html"
"24",4,"The New York Times","News","https://www.nytimes.com/2016/11/06/us/politics/world-reaction-campaign.html"
"25",5,"The New York Times","News","https://www.nytimes.com/2016/10/28/us/politics/money-flows-down-ballot-as-donald-trump-is-abandoned-by-big-donors-even-himself.html"
"26",6,"The New York Times","News","https://www.nytimes.com/2016/10/27/business/media/megyn-kellys-pivotal-moment-in-a-post-ailes-era-at-fox-news.html"
"27",7,"The New York Times","News","https://www.nytimes.com/2016/11/06/us/politics/trump-clinton-turning-points.html"
"28",8,"The New York Times","News","https://www.nytimes.com/2016/11/06/upshot/fact-checking-can-change-views-we-rate-that-as-mostly-true.html"
"29",9,"The New York Times","News","https://www.nytimes.com/2016/11/04/travel/election-moving-to-canada-donald-trump-hillary-clinton.html"
"30",10,"The New York Times","News","https://www.nytimes.com/2016/10/30/business/trump-and-the-conservationist.html"
"31",1,"The New York Times","News","https://www.nytimes.com/2016/11/06/us/politics/hillary-clinton-donald-trump-campaign.html"
"32",2,"The New York Times","News","https://www.nytimes.com/2016/10/30/us/politics/hillary-clinton-emails-fbi-anthony-weiner.html"
"33",3,"The New York Times","News","https://www.nytimes.com/2016/10/26/business/dealbook/atts-bid-for-time-warner-faces-fierce-political-opposition.html"
"34",4,"The New York Times","News","https://www.nytimes.com/2016/10/28/us/politics/donald-trump-campaign-voter-suppression.html"
"35",5,"The New York Times","News","https://www.nytimes.com/2016/11/03/us/politics/presidential-election.html"
"36",6,"The New York Times","News","https://www.nytimes.com/2016/10/25/us/politics/donald-trump-lawsuits-american-bar-association.html"
"37",7,"The New York Times","News","https://www.nytimes.com/2016/10/24/us/politics/for-republicans-abandoning-donald-trump-obama-has-a-message-too-late.html"
"38",8,"The New York Times","News","https://www.nytimes.com/2016/10/26/us/north-carolina-election-year.html"
"39",9,"The New York Times","News","https://www.nytimes.com/2016/11/02/business/media/a-union-of-politics-and-news-ends-with-both-contaminated.html"
"40",10,"The New York Times","News","https://www.nytimes.com/2016/10/27/us/politics/donald-trump-black-voters.html"
"41",1,"The New York Times","News","https://www.nytimes.com/2016/11/01/us/politics/tony-fabrizio-trump-vendor.html"
